x,y,z,yaw,velocity,change_flag
0.0332,1.8723,0.0008,-1.5595,0,0
0.0255,0.7911,-0.0376,-1.6002,3.4226,0
-0.0301,-0.2476,-0.0780,-1.6424,3.8797,0
-0.1047,-1.3043,-0.1236,-1.6901,3.5614,0
-0.2330,-2.3656,-0.2105,-1.7401,3.7224,0
-0.4738,-3.4688,-0.2811,-1.7917,5.3912,0
-0.7108,-4.5385,-0.3355,-1.8352,3.8832,0
-1.0227,-5.5463,-0.4237,-1.8404,3.9183,0
-1.2815,-6.5456,-0.4576,-1.8097,4.0340,0
-1.4790,-7.5569,-0.5434,-1.7623,2.1604,0
-1.6368,-8.6064,-0.5681,-1.7059,3.2880,0
-1.7166,-9.6510,-0.6476,-1.6420,3.9056,0
-1.7391,-10.6619,-0.6868,-1.5858,4.5096,0
-1.7225,-11.7638,-0.7382,-1.5657,4.3064,0
-1.7376,-12.8216,-0.7697,-1.5620,4.0553,0
-1.6751,-13.8566,-0.8228,-1.5547,5.1909,0
-1.6247,-14.9968,-0.9066,-1.5472,5.5240,0
-1.6293,-16.0229,-0.9484,-1.5511,4.9503,0
-1.6558,-17.0348,-0.9789,-1.5548,5.0679,0
-1.6426,-18.0459,-1.0319,-1.5613,4.7126,0
-1.6355,-19.1082,-1.0686,-1.5681,5.2960,0
-1.6126,-20.1772,-1.1190,-1.5708,5.5140,0
-1.6170,-21.2106,-1.1854,-1.5721,5.1667,0
-1.6042,-22.2152,-1.2310,-1.5706,4.8186,0
-1.6077,-23.3231,-1.3085,-1.5694,4.9116,0
-1.5983,-24.3892,-1.3599,-1.5680,4.5361,0
-1.6068,-25.4369,-1.4071,-1.5639,5.0353,0
-1.5532,-26.5432,-1.4414,-1.5573,3.9673,0
-1.5394,-27.6251,-1.4884,-1.5563,4.8538,0
-1.4903,-28.7304,-1.5579,-1.5481,4.4705,0
-1.4239,-29.8462,-1.6696,-1.5304,4.3026,0
-1.3688,-30.9167,-1.6816,-1.5018,3.7325,0
-1.2669,-31.9712,-1.7930,-1.5044,3.4607,0
-1.1952,-33.0701,-1.7999,-1.5136,4.5131,0
-1.1384,-34.1464,-1.8151,-1.5206,4.3142,0
-1.0753,-35.2602,-1.9485,-1.5259,5.3188,0
-1.0023,-36.2942,-1.9902,-1.5168,6.6353,0
-0.9221,-37.3758,-2.0500,-1.4860,5.9078,0
-0.7643,-38.4796,-2.1085,-1.4317,5.1259,0
-0.5886,-39.5149,-2.1979,-1.3518,4.9630,0
-0.2831,-40.5509,-2.2550,-1.2508,4.7193,0
0.1213,-41.5546,-2.2916,-1.1382,3.9775,0
0.6133,-42.5353,-2.3093,-1.0248,4.1551,0
1.2486,-43.4628,-2.3599,-0.9022,4.4566,0
1.9174,-44.2406,-2.3364,-0.7853,5.7469,0
2.7774,-44.9258,-2.3431,-0.6626,5.1927,0
3.6566,-45.4939,-2.3287,-0.5442,4.5294,0
4.6092,-45.9560,-2.3365,-0.4329,4.9370,0
5.6779,-46.3672,-2.2942,-0.3186,5.7332,0
6.7644,-46.6345,-2.2927,-0.2392,5.9830,0
7.8450,-46.9162,-2.3028,-0.2031,5.3921,0
8.8986,-47.1328,-2.2595,-0.1867,5.3682,0
9.9207,-47.2722,-2.2451,-0.1526,4.9092,0
10.9291,-47.3975,-2.2116,-0.1052,5.4362,0
12.0590,-47.5046,-2.1851,-0.0505,5.0000,0
13.1118,-47.5305,-2.1591,0.0051,4.3118,0
14.2035,-47.5129,-2.1148,0.0354,5.2982,0
15.2574,-47.4751,-2.0533,0.0490,5.5067,0
16.4003,-47.3744,-2.0140,0.0664,6.2088,0
17.4517,-47.2893,-1.9559,0.0903,6.1716,0
18.5206,-47.1760,-1.9286,0.1198,6.9377,0
19.6303,-47.0320,-1.8873,0.1495,7.1192,0
20.8132,-46.8516,-1.8249,0.1829,6.8279,0
21.9846,-46.5616,-1.7951,0.2164,8.1528,0
23.0521,-46.3125,-1.7452,0.2463,8.1937,0
24.0310,-46.0257,-1.7361,0.2651,7.7630,0
25.0618,-45.7441,-1.6850,0.2789,6.9057,0
26.1795,-45.4112,-1.6349,0.2835,6.8370,0
27.2419,-45.0641,-1.6014,0.2955,6.4059,0
28.3488,-44.7388,-1.5347,0.3093,6.9180,0
29.4275,-44.3368,-1.5026,0.3259,7.4599,0
30.4913,-43.9601,-1.4700,0.3300,8.3774,0
31.6678,-43.5493,-1.4035,0.3301,9.0605,0
32.6572,-43.2121,-1.3851,0.3223,8.5705,0
33.6190,-42.8893,-1.3157,0.3171,8.2787,0
34.7800,-42.4905,-1.2667,0.3193,8.9612,0
35.9270,-42.0992,-1.2281,0.3213,8.8680,0
37.0870,-41.6787,-1.1733,0.3276,9.1660,0
38.0976,-41.3383,-1.1137,0.3483,9.9861,0
39.1643,-40.9134,-1.0750,0.3797,10.8244,0
40.2136,-40.4560,-1.0064,0.4040,11.2325,0
41.2722,-40.0090,-0.9505,0.4162,10.1780,0
42.3696,-39.5792,-0.8971,0.4156,9.8926,0
43.4179,-39.1180,-0.8169,0.4097,10.3970,0
44.4518,-38.6547,-0.7729,0.4047,9.7034,0
45.5309,-38.1771,-0.7241,0.4061,11.1162,0
46.6041,-37.6711,-0.7100,0.4057,11.4415,0
47.7292,-37.1687,-0.6636,0.4025,12.0101,0
48.8501,-36.6880,-0.6223,0.3991,10.9320,0
50.0533,-36.1946,-0.5789,0.3928,11.6715,0
51.2311,-35.6732,-0.5466,0.3858,12.3655,0
52.4353,-35.2178,-0.4831,0.3753,11.6768,0
53.6665,-34.7215,-0.4351,0.3763,12.3758,0
54.8610,-34.2283,-0.4015,0.3771,11.8030,0
55.8063,-33.8775,-0.3589,0.3740,11.9056,0
57.0157,-33.4155,-0.3098,0.3624,11.9710,0
58.2085,-32.9301,-0.2694,0.3513,11.3207,0
59.4041,-32.4601,-0.1883,0.3388,11.4364,0
60.5573,-32.0476,-0.1598,0.3307,12.2277,0
61.6904,-31.6639,-0.1584,0.3241,11.9244,0
62.8535,-31.2491,-0.0213,0.3158,11.1475,0
